,M+1,M+2,M+3
271,0.024,0.00475,0.42675
272,0.0245,0.00475,0.42775
273,0.0245,0.00475,0.42875
274,0.025,0.00475,0.42925
275,0.02475,0.00475,0.43
276,0.0245,0.00475,0.4305
277,0.0245,0.005,0.4315
278,0.02475,0.005,0.433
279,0.02475,0.005,0.43475
280,0.02425,0.005,0.43575
281,0.0245,0.005,0.437
282,0.0245,0.005,0.438
283,0.025,0.005,0.439
284,0.025,0.005,0.44
285,0.025,0.005,0.44175
286,0.02525,0.005,0.44275
287,0.0255,0.005,0.4445
288,0.0255,0.00475,0.445
289,0.02575,0.00475,0.44625
290,0.026,0.00475,0.447
291,0.02625,0.00475,0.44775
292,0.02675,0.005,0.449
293,0.027,0.00525,0.4495
294,0.027,0.00525,0.45125
295,0.02725,0.00525,0.45175
296,0.02725,0.00525,0.45275
297,0.02775,0.00525,0.45325
298,0.028,0.00525,0.454
299,0.028,0.005,0.45475
300,0.028,0.005,0.45575
301,0.02825,0.005,0.457
302,0.02875,0.00525,0.45825
303,0.02925,0.00525,0.4595
304,0.0295,0.00525,0.46075
305,0.02975,0.00525,0.46125
306,0.03,0.00525,0.46225
307,0.02975,0.00525,0.46325
308,0.03,0.0055,0.465
309,0.03,0.0055,0.4655
310,0.0305,0.0055,0.46675
311,0.0305,0.0055,0.46775
312,0.0305,0.00575,0.469
313,0.031,0.00575,0.46975
314,0.031,0.00625,0.47075
315,0.0315,0.00625,0.47225
316,0.0315,0.00625,0.47275
317,0.032,0.00625,0.474
318,0.03225,0.0065,0.4745
319,0.033,0.0065,0.475
320,0.03325,0.0065,0.47575
321,0.0335,0.0065,0.4765
322,0.03375,0.0065,0.477
323,0.034,0.0065,0.478
324,0.03325,0.0065,0.479
325,0.03375,0.00675,0.48
326,0.03375,0.00725,0.4805
327,0.03375,0.0075,0.481
328,0.0345,0.0075,0.48225
329,0.03475,0.0075,0.483
330,0.03525,0.0075,0.48325
331,0.03525,0.0075,0.484
332,0.03525,0.0075,0.4855
333,0.0355,0.0075,0.486
334,0.03575,0.0075,0.4865
335,0.036,0.00775,0.487
336,0.036,0.00775,0.48725
337,0.036,0.00775,0.48725
338,0.03575,0.00825,0.4875
339,0.03625,0.00825,0.489
340,0.0365,0.00825,0.4895
341,0.0365,0.00825,0.49025
342,0.03675,0.00825,0.4905
343,0.03725,0.00825,0.49125
344,0.03725,0.00825,0.492
345,0.0375,0.00825,0.49275
346,0.03775,0.00825,0.493
347,0.03775,0.00825,0.493
348,0.03875,0.00825,0.49275
349,0.039,0.00825,0.49375
350,0.039,0.00825,0.49425
351,0.03875,0.0085,0.495
352,0.0395,0.0085,0.4955
353,0.0405,0.0085,0.496
354,0.041,0.00875,0.49625
355,0.04125,0.00875,0.497
356,0.041,0.00875,0.49875
357,0.0405,0.00875,0.5
358,0.04125,0.00875,0.50075
359,0.0415,0.0085,0.50175
360,0.04175,0.0085,0.50175
361,0.042,0.0085,0.502
362,0.0415,0.0085,0.5035
363,0.04075,0.0085,0.50425
364,0.04175,0.0085,0.50575
365,0.042,0.0085,0.50675
366,0.042,0.0085,0.5075
367,0.04275,0.0085,0.50875
368,0.043,0.00825,0.5085
369,0.0435,0.008,0.50925
370,0.04425,0.008,0.51025
371,0.04475,0.00775,0.51025
372,0.045,0.008,0.5105
373,0.0455,0.008,0.51075
374,0.04575,0.00825,0.51075
375,0.046,0.00825,0.511
376,0.04575,0.008,0.51175
377,0.046,0.00825,0.51325
378,0.0465,0.00825,0.514
379,0.046,0.00825,0.51525
380,0.04675,0.0085,0.5155
381,0.047,0.00875,0.5155
382,0.04725,0.009,0.516
383,0.0475,0.009,0.517
384,0.04825,0.00875,0.51825
385,0.04875,0.00875,0.519
386,0.04925,0.00875,0.51975
