,M+1,M+2,M+3,M+4
360,0.0016,0.1012,0.0232,0.0068
361,0.0016,0.1024,0.0232,0.0068
362,0.0016,0.1028,0.0236,0.0068
363,0.002,0.104,0.0244,0.0068
364,0.002,0.1036,0.0244,0.0064
365,0.002,0.1016,0.0252,0.0064
366,0.002,0.1028,0.026,0.0064
367,0.0016,0.1032,0.0252,0.0068
368,0.0016,0.1048,0.0252,0.0068
369,0.0016,0.1048,0.0248,0.006
370,0.0016,0.104,0.0252,0.006
371,0.0016,0.1044,0.0264,0.0072
372,0.0016,0.1036,0.0276,0.0072
373,0.0016,0.1004,0.0264,0.0076
374,0.002,0.1028,0.0264,0.0072
375,0.002,0.1044,0.0264,0.0072
376,0.002,0.1044,0.0272,0.0072
377,0.002,0.106,0.028,0.0072
378,0.002,0.1056,0.0288,0.0072
379,0.0016,0.1064,0.0288,0.0072
380,0.0016,0.1056,0.0284,0.0068
381,0.0016,0.1048,0.028,0.0068
382,0.0016,0.1036,0.0288,0.0072
383,0.0016,0.1024,0.0288,0.0072
384,0.0016,0.1032,0.0288,0.0068
385,0.0016,0.1028,0.0296,0.0064
386,0.0016,0.102,0.03,0.0064
387,0.0016,0.1016,0.0308,0.0064
388,0.0016,0.1016,0.0296,0.0068
389,0.0016,0.1008,0.0292,0.0068
390,0.0016,0.1016,0.0284,0.0068
391,0.0016,0.1032,0.0288,0.0072
392,0.0016,0.1028,0.0284,0.0072
393,0.0016,0.102,0.0288,0.0068
394,0.0016,0.1024,0.0284,0.0068
395,0.0016,0.1032,0.0276,0.0064
396,0.0016,0.104,0.028,0.0068
397,0.0016,0.1048,0.0284,0.0068
398,0.0016,0.1052,0.0288,0.0068
399,0.0016,0.1056,0.0292,0.0068
400,0.0016,0.1044,0.0288,0.0068
401,0.0012,0.1052,0.028,0.0068
402,0.0012,0.1048,0.0276,0.0064
403,0.0012,0.1052,0.028,0.0068
404,0.0012,0.104,0.028,0.0068
405,0.0012,0.106,0.0284,0.0064
406,0.0016,0.1064,0.0292,0.0064
407,0.0012,0.1072,0.0284,0.0068
408,0.0012,0.1092,0.028,0.0068
409,0.0012,0.112,0.028,0.0068
410,0.0012,0.114,0.0288,0.0064
411,0.0012,0.1148,0.028,0.0064
412,0.0012,0.1136,0.0288,0.0064
413,0.0012,0.1124,0.0292,0.0064
414,0.0012,0.1132,0.0292,0.0064
415,0.0012,0.1144,0.0292,0.0064
416,0.0012,0.1148,0.0288,0.0064
417,0.0012,0.1144,0.0288,0.0064
418,0.0012,0.1136,0.0284,0.0068
419,0.0012,0.1112,0.0288,0.0068
420,0.0012,0.1104,0.0292,0.0068
421,0.0016,0.1112,0.0288,0.0068
422,0.0016,0.1108,0.0288,0.0068
