,M+1,M+2,M+3,M+4
266,0.004,0.144,0.002,0.01
267,0.004,0.144,0.002,0.012
268,0.004,0.144,0.002,0.012
269,0.004,0.146,0.004,0.012
270,0.004,0.142,0.004,0.012
271,0.004,0.144,0.004,0.012
272,0.004,0.15,0.004,0.012
273,0.004,0.15,0.004,0.012
274,0.004,0.152,0.004,0.012
275,0.004,0.152,0.004,0.01
276,0.004,0.154,0.004,0.01
277,0.004,0.158,0.008,0.01
278,0.004,0.162,0.008,0.01
279,0.004,0.168,0.008,0.01
280,0.004,0.17,0.008,0.01
281,0.004,0.17,0.008,0.01
282,0.004,0.166,0.008,0.01
283,0.004,0.162,0.01,0.008
284,0.004,0.164,0.01,0.008
285,0.004,0.166,0.01,0.008
286,0.004,0.158,0.01,0.008
287,0.004,0.158,0.008,0.008
288,0.004,0.16,0.008,0.008
289,0.004,0.166,0.008,0.008
290,0.004,0.168,0.008,0.01
291,0.004,0.17,0.008,0.01
292,0.004,0.166,0.008,0.01
293,0.004,0.166,0.008,0.01
294,0.004,0.164,0.008,0.01
295,0.004,0.166,0.008,0.01
296,0.004,0.162,0.01,0.008
297,0.004,0.162,0.01,0.006
298,0.004,0.162,0.01,0.01
299,0.004,0.162,0.01,0.01
300,0.004,0.164,0.01,0.01
301,0.004,0.166,0.01,0.01
302,0.004,0.17,0.012,0.01
303,0.004,0.172,0.01,0.01
304,0.004,0.17,0.01,0.006
305,0.006,0.166,0.01,0.008
306,0.006,0.164,0.01,0.008
307,0.006,0.166,0.01,0.01
308,0.006,0.168,0.012,0.01
309,0.006,0.17,0.012,0.01
310,0.006,0.172,0.012,0.01
311,0.006,0.168,0.01,0.01
312,0.006,0.164,0.01,0.012
313,0.006,0.162,0.012,0.012
314,0.004,0.166,0.012,0.012
315,0.004,0.168,0.012,0.012
316,0.006,0.166,0.012,0.01
317,0.006,0.168,0.012,0.01
318,0.004,0.166,0.014,0.01
319,0.002,0.172,0.014,0.012
320,0.002,0.172,0.014,0.012
321,0.002,0.168,0.014,0.012
322,0.002,0.166,0.014,0.012
323,0.002,0.164,0.014,0.012
324,0.002,0.166,0.014,0.012
325,0.002,0.174,0.014,0.014
326,0.002,0.174,0.014,0.012
327,0.002,0.172,0.014,0.01
328,0.002,0.178,0.016,0.008
329,0.002,0.172,0.018,0.006
330,0.002,0.174,0.016,0.006
331,0.002,0.17,0.02,0.006
332,0.002,0.174,0.02,0.006
333,0.002,0.172,0.018,0.006
334,0.002,0.172,0.018,0.006
335,0.002,0.166,0.016,0.006
336,0.002,0.172,0.014,0.008
337,0.0,0.172,0.014,0.008
338,0.0,0.17,0.016,0.008
339,0.0,0.17,0.016,0.008
340,0.0,0.17,0.016,0.008
341,0.0,0.172,0.016,0.008
342,0.0,0.172,0.016,0.008
343,0.0,0.168,0.016,0.008
344,0.0,0.172,0.016,0.008
345,0.0,0.174,0.016,0.008
346,0.0,0.176,0.016,0.008
347,0.0,0.182,0.016,0.008
348,0.0,0.18,0.016,0.008
349,0.0,0.178,0.016,0.008
350,0.0,0.18,0.016,0.008
351,0.0,0.178,0.016,0.008
352,0.0,0.174,0.016,0.008
353,0.0,0.168,0.016,0.008
354,0.0,0.168,0.016,0.008
355,0.0,0.172,0.018,0.008
356,0.0,0.174,0.02,0.008
357,0.0,0.172,0.02,0.008
358,0.0,0.178,0.02,0.008
359,0.0,0.178,0.018,0.008
360,0.0,0.176,0.018,0.01
361,0.0,0.178,0.018,0.01
362,0.002,0.174,0.018,0.01
363,0.002,0.178,0.018,0.01
364,0.002,0.176,0.022,0.008
365,0.002,0.178,0.02,0.008
366,0.002,0.174,0.02,0.008
367,0.002,0.172,0.02,0.006
368,0.002,0.174,0.02,0.006
369,0.002,0.176,0.02,0.006
370,0.002,0.172,0.02,0.006
371,0.002,0.17,0.02,0.008
372,0.002,0.164,0.02,0.008
373,0.002,0.166,0.022,0.008
374,0.002,0.166,0.022,0.01
375,0.002,0.17,0.022,0.01
376,0.002,0.17,0.02,0.01
377,0.002,0.172,0.02,0.01
378,0.002,0.17,0.018,0.008
379,0.002,0.168,0.02,0.008
380,0.002,0.176,0.02,0.01
381,0.002,0.172,0.018,0.01
382,0.002,0.174,0.018,0.008
383,0.002,0.174,0.02,0.01
384,0.002,0.17,0.018,0.01
385,0.004,0.168,0.018,0.01
386,0.004,0.168,0.018,0.01
387,0.004,0.166,0.018,0.01
388,0.004,0.164,0.016,0.01
389,0.004,0.164,0.016,0.012
390,0.004,0.162,0.014,0.012
391,0.004,0.162,0.016,0.012
392,0.004,0.158,0.018,0.012
393,0.004,0.16,0.02,0.012
394,0.004,0.162,0.02,0.012
395,0.004,0.156,0.02,0.012
396,0.004,0.158,0.022,0.014
397,0.004,0.158,0.022,0.012
398,0.002,0.156,0.02,0.012
399,0.002,0.156,0.02,0.014
400,0.002,0.16,0.02,0.014
401,0.002,0.158,0.018,0.014
402,0.002,0.166,0.018,0.012
403,0.002,0.168,0.018,0.014
404,0.002,0.162,0.018,0.014
405,0.002,0.16,0.018,0.014
406,0.002,0.158,0.018,0.014
407,0.002,0.16,0.018,0.014
408,0.002,0.164,0.02,0.016
409,0.0,0.172,0.02,0.016
410,0.0,0.17,0.022,0.016
411,0.0,0.168,0.022,0.016
412,0.0,0.166,0.022,0.016
413,0.0,0.162,0.024,0.016
414,0.0,0.164,0.024,0.018
415,0.0,0.154,0.024,0.018
416,0.0,0.156,0.022,0.016
417,0.0,0.158,0.024,0.016
418,0.0,0.162,0.024,0.016
419,0.0,0.162,0.024,0.016
420,0.0,0.156,0.024,0.016
421,0.0,0.158,0.024,0.016
422,0.0,0.156,0.022,0.016
423,0.0,0.158,0.024,0.016
424,0.0,0.152,0.024,0.016
425,0.0,0.156,0.022,0.014
426,0.0,0.158,0.022,0.016
427,0.0,0.174,0.02,0.018
428,0.0,0.178,0.02,0.018
429,0.0,0.172,0.02,0.018
430,0.0,0.174,0.018,0.016
431,0.0,0.176,0.018,0.016
432,0.002,0.178,0.018,0.016
433,0.002,0.18,0.02,0.016
434,0.002,0.178,0.02,0.016
435,0.002,0.18,0.02,0.016
436,0.002,0.182,0.022,0.016
437,0.002,0.178,0.022,0.016
438,0.002,0.182,0.022,0.016
439,0.002,0.174,0.022,0.016
440,0.002,0.166,0.022,0.016
441,0.002,0.166,0.022,0.016
442,0.002,0.166,0.02,0.014
443,0.002,0.168,0.018,0.014
444,0.002,0.166,0.016,0.012
445,0.002,0.164,0.018,0.012
446,0.002,0.166,0.016,0.012
447,0.002,0.166,0.014,0.012
448,0.002,0.168,0.014,0.012
449,0.002,0.168,0.012,0.014
450,0.004,0.166,0.012,0.014
451,0.004,0.166,0.012,0.014
452,0.002,0.164,0.012,0.014
453,0.002,0.158,0.012,0.014
454,0.002,0.162,0.01,0.014
455,0.002,0.16,0.012,0.014
456,0.004,0.156,0.01,0.012
457,0.004,0.154,0.01,0.012
458,0.004,0.16,0.01,0.012
459,0.004,0.164,0.012,0.012
460,0.002,0.164,0.014,0.012
461,0.002,0.16,0.016,0.012
462,0.002,0.148,0.018,0.012
463,0.002,0.152,0.016,0.012
464,0.002,0.156,0.018,0.012
465,0.002,0.162,0.02,0.012
466,0.002,0.168,0.02,0.014
467,0.002,0.168,0.022,0.014
468,0.002,0.172,0.024,0.014
469,0.002,0.17,0.022,0.014
470,0.002,0.17,0.022,0.014
471,0.002,0.168,0.022,0.016
472,0.0,0.168,0.022,0.016
473,0.0,0.168,0.022,0.016
474,0.0,0.168,0.022,0.02
475,0.0,0.162,0.022,0.018
476,0.0,0.16,0.02,0.02
477,0.0,0.16,0.02,0.02
478,0.0,0.168,0.02,0.018
479,0.0,0.162,0.02,0.018
480,0.0,0.166,0.02,0.018
481,0.0,0.17,0.018,0.018
482,0.0,0.174,0.02,0.018
483,0.0,0.178,0.018,0.018
484,0.0,0.176,0.02,0.018
485,0.0,0.174,0.02,0.02
486,0.0,0.17,0.02,0.02
487,0.0,0.172,0.024,0.02
488,0.0,0.17,0.024,0.02
489,0.0,0.17,0.022,0.018
490,0.0,0.174,0.022,0.018
491,0.0,0.172,0.022,0.018
492,0.0,0.176,0.022,0.018
493,0.0,0.178,0.02,0.018
494,0.0,0.176,0.02,0.018
495,0.0,0.174,0.02,0.018
496,0.0,0.17,0.02,0.018
497,0.0,0.17,0.018,0.018
498,0.0,0.17,0.018,0.018
499,0.0,0.174,0.018,0.018
500,0.0,0.174,0.018,0.016
501,0.0,0.176,0.018,0.016
502,0.0,0.18,0.018,0.016
503,0.0,0.176,0.018,0.016
504,0.0,0.174,0.018,0.016
505,0.0,0.18,0.018,0.016
506,0.0,0.174,0.018,0.016
507,0.0,0.178,0.02,0.016
508,0.0,0.182,0.022,0.018
509,0.0,0.184,0.024,0.02
510,0.0,0.176,0.026,0.022
511,0.0,0.176,0.026,0.024
512,0.0,0.182,0.026,0.024
513,0.0,0.184,0.026,0.024
514,0.0,0.19,0.026,0.024
515,0.0,0.192,0.026,0.022
516,0.0,0.196,0.024,0.02
517,0.0,0.192,0.028,0.018
518,0.0,0.188,0.026,0.018
519,0.0,0.19,0.026,0.018
520,0.0,0.188,0.026,0.018
521,0.0,0.19,0.026,0.018
522,0.0,0.184,0.026,0.02
523,0.0,0.186,0.024,0.02
524,0.0,0.184,0.024,0.022
525,0.0,0.186,0.022,0.022
526,0.0,0.19,0.022,0.022
527,0.0,0.19,0.022,0.02
528,0.0,0.192,0.022,0.018
529,0.0,0.192,0.024,0.018
530,0.0,0.19,0.024,0.018
531,0.0,0.196,0.022,0.018
532,0.0,0.2,0.02,0.018
533,0.0,0.202,0.02,0.018
534,0.0,0.2,0.02,0.018
535,0.0,0.202,0.02,0.016
536,0.0,0.204,0.018,0.018
537,0.0,0.206,0.018,0.02
538,0.0,0.198,0.016,0.02
539,0.0,0.196,0.016,0.02
540,0.0,0.2,0.016,0.02
541,0.0,0.2,0.014,0.02
542,0.0,0.196,0.016,0.02
543,0.0,0.198,0.016,0.02
544,0.0,0.194,0.016,0.022
545,0.0,0.194,0.016,0.022
546,0.0,0.198,0.016,0.022
547,0.0,0.202,0.014,0.02
548,0.0,0.198,0.014,0.02
549,0.0,0.204,0.014,0.02
550,0.0,0.206,0.014,0.02
551,0.0,0.202,0.014,0.022
552,0.0,0.204,0.014,0.022
553,0.0,0.2,0.014,0.022
554,0.0,0.2,0.012,0.022
555,0.0,0.206,0.01,0.018
556,0.0,0.206,0.01,0.018
557,0.0,0.206,0.012,0.018
558,0.0,0.204,0.012,0.018
559,0.0,0.2,0.014,0.018
560,0.0,0.198,0.014,0.018
561,0.0,0.202,0.016,0.018
