,M+1,M+2,M+3,M+4,M+5
5150,0.0,0.6923076923076923,0.19230769230769232,0.11538461538461538,0.0
5151,0.0,0.7499999999999999,0.14285714285714285,0.10714285714285712,0.0
5152,0.0,0.7142857142857143,0.21428571428571425,0.07142857142857142,0.0
5153,0.0,0.7407407407407407,0.14814814814814814,0.1111111111111111,0.0
5154,0.0,0.7586206896551724,0.13793103448275862,0.10344827586206895,0.0
5155,0.0,0.7407407407407407,0.14814814814814814,0.1111111111111111,0.0
5156,0.0,0.7499999999999999,0.14285714285714285,0.10714285714285712,0.0
5157,0.0,0.72,0.16,0.12,0.0
5158,0.0,0.7037037037037037,0.18518518518518517,0.1111111111111111,0.0
5159,0.0,0.6666666666666666,0.25925925925925924,0.07407407407407407,0.0
5160,0.0,0.689655172413793,0.2068965517241379,0.10344827586206895,0.0
5161,0.0,0.7142857142857143,0.21428571428571425,0.07142857142857142,0.0
5162,0.0,0.6153846153846154,0.23076923076923075,0.11538461538461538,0.038461538461538464
5163,0.0,0.47826086956521735,0.34782608695652173,0.17391304347826086,0.0
5164,0.0,0.5909090909090909,0.31818181818181823,0.09090909090909091,0.0
5165,0.0,0.5909090909090909,0.31818181818181823,0.09090909090909091,0.0
5166,0.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0
5167,0.0,0.65,0.19999999999999998,0.09999999999999999,0.049999999999999996
5168,0.0,0.6842105263157895,0.15789473684210525,0.10526315789473684,0.05263157894736842
5169,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0
5170,0.0,0.6333333333333334,0.2,0.13333333333333333,0.03333333333333333
5171,0.0,0.7575757575757577,0.12121212121212123,0.12121212121212123,0.0
5172,0.0,0.696969696969697,0.1818181818181818,0.12121212121212122,0.0
5173,0.0,0.71875,0.125,0.15625,0.0
5174,0.0,0.6428571428571428,0.14285714285714285,0.21428571428571425,0.0
5175,0.0,0.6206896551724138,0.20689655172413793,0.1724137931034483,0.0
5176,0.0,0.6666666666666667,0.16666666666666669,0.16666666666666669,0.0
5177,0.0,0.6666666666666667,0.2,0.13333333333333333,0.0
5178,0.0,0.7241379310344827,0.17241379310344826,0.10344827586206895,0.0
5179,0.0,0.8076923076923076,0.19230769230769232,0.0,0.0
5180,0.0,0.7777777777777777,0.18518518518518517,0.037037037037037035,0.0
5181,0.0,0.75,0.20833333333333334,0.04166666666666667,0.0
5182,0.0,0.7307692307692307,0.19230769230769232,0.07692307692307693,0.0
5183,0.0,0.7307692307692307,0.11538461538461538,0.15384615384615385,0.0
5184,0.0,0.68,0.12,0.2,0.0
5185,0.0,0.7241379310344828,0.13793103448275865,0.13793103448275865,0.0
5186,0.0,0.7241379310344828,0.13793103448275865,0.13793103448275865,0.0
5187,0.0,0.75,0.10714285714285715,0.14285714285714288,0.0
5188,0.0,0.7857142857142858,0.07142857142857144,0.14285714285714288,0.0
5189,0.0,0.8260869565217391,0.13043478260869565,0.043478260869565216,0.0
5190,0.0,0.8260869565217392,0.08695652173913045,0.08695652173913045,0.0
5191,0.0,0.8181818181818181,0.045454545454545456,0.13636363636363635,0.0
5192,0.0,0.7391304347826088,0.08695652173913043,0.13043478260869565,0.043478260869565216
5193,0.0,0.7916666666666667,0.08333333333333334,0.125,0.0
5194,0.0,0.7916666666666666,0.041666666666666664,0.12499999999999999,0.041666666666666664
5195,0.0,0.8181818181818181,0.0,0.13636363636363635,0.045454545454545456
5196,0.0,0.7857142857142857,0.07142857142857142,0.10714285714285712,0.03571428571428571
5197,0.0,0.7407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035
5198,0.0,0.7419354838709676,0.16129032258064513,0.06451612903225805,0.032258064516129024
