,M+1,M+2,M+3,M+4,M+5
216,0.0,0.2,0.18,0.16,0.04
217,0.0,0.22,0.16,0.18,0.04
218,0.0,0.24,0.14,0.16,0.04
219,0.0,0.16,0.12,0.2,0.06
220,0.0,0.22,0.1,0.2,0.04
221,0.0,0.22,0.12,0.14,0.04
222,0.0,0.16,0.14,0.14,0.02
223,0.0,0.14,0.12,0.18,0.0
224,0.0,0.1,0.14,0.2,0.0
225,0.0,0.14,0.12,0.22,0.0
226,0.0,0.18,0.12,0.2,0.0
227,0.0,0.22,0.12,0.12,0.0
228,0.0,0.28,0.1,0.14,0.0
229,0.0,0.28,0.1,0.16,0.0
230,0.0,0.3,0.04,0.16,0.02
231,0.0,0.28,0.06,0.18,0.04
232,0.0,0.3,0.04,0.2,0.04
233,0.0,0.28,0.04,0.2,0.06
234,0.0,0.32,0.06,0.14,0.02
235,0.0,0.3,0.06,0.18,0.02
236,0.0,0.34,0.04,0.16,0.02
237,0.0,0.34,0.08,0.12,0.04
238,0.0,0.32,0.06,0.12,0.08
239,0.0,0.26,0.04,0.14,0.1
240,0.0,0.26,0.04,0.12,0.1
241,0.0,0.24,0.06,0.12,0.1
242,0.0,0.24,0.04,0.12,0.08
243,0.0,0.26,0.04,0.12,0.08
244,0.0,0.24,0.06,0.14,0.08
245,0.0,0.24,0.06,0.14,0.08
246,0.0,0.26,0.06,0.12,0.06
247,0.0,0.24,0.06,0.16,0.04
248,0.0,0.24,0.06,0.14,0.04
249,0.0,0.2,0.08,0.2,0.02
250,0.0,0.18,0.1,0.18,0.04
251,0.0,0.2,0.12,0.14,0.04
252,0.0,0.18,0.12,0.12,0.04
253,0.0,0.18,0.16,0.14,0.04
254,0.0,0.18,0.16,0.16,0.04
255,0.0,0.16,0.16,0.18,0.04
256,0.0,0.18,0.12,0.18,0.04
257,0.0,0.16,0.16,0.16,0.04
258,0.0,0.14,0.16,0.14,0.04
259,0.0,0.14,0.14,0.16,0.04
260,0.0,0.18,0.1,0.16,0.06
261,0.0,0.16,0.12,0.18,0.02
262,0.0,0.08,0.14,0.22,0.02
263,0.0,0.08,0.16,0.16,0.04
264,0.0,0.08,0.1,0.18,0.04
265,0.0,0.06,0.08,0.22,0.06
266,0.0,0.04,0.1,0.18,0.08
267,0.0,0.06,0.14,0.12,0.08
268,0.0,0.06,0.14,0.14,0.1
269,0.0,0.12,0.16,0.14,0.06
270,0.0,0.16,0.16,0.16,0.04
271,0.0,0.18,0.12,0.18,0.02
272,0.0,0.18,0.1,0.18,0.02
273,0.0,0.2,0.12,0.2,0.02
274,0.0,0.26,0.08,0.16,0.02
275,0.0,0.2,0.08,0.2,0.02
276,0.0,0.22,0.1,0.18,0.02
277,0.0,0.26,0.12,0.12,0.04
278,0.0,0.26,0.1,0.14,0.04
279,0.0,0.3,0.08,0.16,0.04
280,0.0,0.22,0.08,0.22,0.04
281,0.0,0.28,0.04,0.2,0.04
282,0.0,0.26,0.04,0.18,0.04
283,0.0,0.26,0.04,0.12,0.04
284,0.0,0.28,0.02,0.08,0.08
285,0.0,0.3,0.02,0.08,0.08
286,0.0,0.24,0.02,0.14,0.06
287,0.0,0.3,0.0,0.12,0.04
288,0.0,0.28,0.0,0.12,0.06
289,0.0,0.26,0.0,0.18,0.06
290,0.0,0.26,0.0,0.2,0.04
291,0.0,0.28,0.0,0.2,0.04
292,0.0,0.3,0.0,0.2,0.06
293,0.0,0.28,0.02,0.18,0.06
294,0.0,0.28,0.04,0.16,0.08
295,0.0,0.3,0.02,0.16,0.06
296,0.0,0.3,0.04,0.14,0.08
297,0.0,0.32,0.04,0.14,0.06
298,0.0,0.34,0.06,0.1,0.04
299,0.0,0.36,0.04,0.1,0.04
300,0.0,0.38,0.04,0.08,0.04
301,0.0,0.32,0.04,0.1,0.06
302,0.0,0.26,0.08,0.06,0.1
303,0.0,0.22,0.1,0.08,0.1
304,0.0,0.2,0.1,0.1,0.1
305,0.0,0.16,0.08,0.12,0.14
306,0.0,0.14,0.1,0.1,0.12
307,0.0,0.18,0.08,0.12,0.1
308,0.0,0.14,0.12,0.14,0.06
309,0.0,0.14,0.1,0.12,0.1
310,0.0,0.2,0.1,0.1,0.06
311,0.0,0.22,0.12,0.1,0.06
312,0.0,0.2,0.12,0.16,0.04
313,0.0,0.24,0.12,0.16,0.04
314,0.0,0.22,0.12,0.16,0.04
315,0.0,0.3,0.1,0.1,0.04
316,0.0,0.26,0.12,0.12,0.06
317,0.0,0.24,0.14,0.08,0.06
318,0.0,0.26,0.12,0.08,0.04
319,0.0,0.32,0.08,0.04,0.04
320,0.0,0.26,0.08,0.08,0.06
321,0.0,0.24,0.08,0.06,0.06
322,0.0,0.26,0.06,0.1,0.06
