,M+1,M+2,M+3,M+4
285,0.0,0.16,0.26,0.08
286,0.0,0.16,0.22,0.1
287,0.0,0.14,0.3,0.1
288,0.0,0.18,0.28,0.08
289,0.0,0.18,0.24,0.06
290,0.0,0.16,0.28,0.06
291,0.0,0.2,0.26,0.04
292,0.0,0.2,0.26,0.02
293,0.0,0.22,0.24,0.04
294,0.0,0.22,0.22,0.04
295,0.0,0.2,0.2,0.08
296,0.0,0.2,0.2,0.08
297,0.0,0.16,0.2,0.14
298,0.0,0.16,0.2,0.12
299,0.0,0.18,0.24,0.1
300,0.0,0.18,0.22,0.08
301,0.0,0.16,0.18,0.08
302,0.0,0.16,0.2,0.04
303,0.0,0.16,0.2,0.08
304,0.0,0.16,0.2,0.08
305,0.0,0.16,0.24,0.08
306,0.0,0.16,0.2,0.08
307,0.0,0.14,0.16,0.08
308,0.0,0.14,0.18,0.08
309,0.0,0.14,0.18,0.08
310,0.0,0.14,0.22,0.08
311,0.0,0.14,0.24,0.1
312,0.0,0.14,0.24,0.12
313,0.0,0.18,0.22,0.1
314,0.0,0.22,0.18,0.1
315,0.0,0.22,0.18,0.1
316,0.0,0.2,0.16,0.1
317,0.0,0.24,0.16,0.1
318,0.0,0.24,0.18,0.08
319,0.0,0.22,0.14,0.1
320,0.0,0.2,0.14,0.08
321,0.0,0.18,0.16,0.06
322,0.0,0.16,0.16,0.06
323,0.0,0.16,0.18,0.04
324,0.0,0.16,0.14,0.04
325,0.0,0.14,0.16,0.04
326,0.0,0.12,0.16,0.06
327,0.0,0.12,0.16,0.06
328,0.0,0.12,0.16,0.08
329,0.0,0.14,0.16,0.08
330,0.0,0.16,0.18,0.08
331,0.0,0.18,0.18,0.06
332,0.0,0.18,0.16,0.06
333,0.0,0.16,0.12,0.06
334,0.0,0.2,0.1,0.08
335,0.0,0.14,0.12,0.1
336,0.0,0.12,0.14,0.1
337,0.0,0.14,0.14,0.12
338,0.0,0.16,0.12,0.12
339,0.0,0.14,0.12,0.1
340,0.0,0.18,0.14,0.1
341,0.0,0.2,0.14,0.06
342,0.0,0.2,0.1,0.04
343,0.0,0.2,0.1,0.04
344,0.0,0.24,0.12,0.06
345,0.0,0.2,0.1,0.06
346,0.0,0.16,0.1,0.06
347,0.0,0.18,0.1,0.06
